Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,153,P:System.Web.HttpContext.User,,,,,"if(Context.User!=null&&Context.User.Identity!=null&&Context.User.Identity.IsAuthenticated){lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;lnkLogin.Visible=false;}else{lblUserStatus.Text=""Not signed in"";lnkLogout.Visible=false;}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,153,T:System.Web.HttpContext,,,,,"if(Context.User!=null&&Context.User.Identity!=null&&Context.User.Identity.IsAuthenticated){lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;lnkLogin.Visible=false;}else{lblUserStatus.Text=""Not signed in"";lnkLogout.Visible=false;}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,153,P:System.Web.UI.Control.Context,,,,,"if(Context.User!=null&&Context.User.Identity!=null&&Context.User.Identity.IsAuthenticated){lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;lnkLogin.Visible=false;}else{lblUserStatus.Text=""Not signed in"";lnkLogout.Visible=false;}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,153,P:System.Web.HttpContext.User,,,,,"if(Context.User!=null&&Context.User.Identity!=null&&Context.User.Identity.IsAuthenticated){lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;lnkLogin.Visible=false;}else{lblUserStatus.Text=""Not signed in"";lnkLogout.Visible=false;}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,90,M:System.Web.UI.MasterPage.#ctor,,,,,MasterPage
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,90,T:System.Web.UI.MasterPage,,,,,MasterPage
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,345,T:System.Web.HttpContext,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,345,P:System.Web.UI.Page.Context,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,345,T:System.Web.HttpApplication,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,345,P:System.Web.HttpContext.ApplicationInstance,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,345,M:System.Web.HttpApplication.CompleteRequest,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,226,T:System.Configuration.ConfigurationManager,,,,,"Response.Redirect(ConfigurationManager.AppSettings[""AuthGatewayLogoutUrl""]??""http://localhost:8000/Logout.aspx"",false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,226,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"Response.Redirect(ConfigurationManager.AppSettings[""AuthGatewayLogoutUrl""]??""http://localhost:8000/Logout.aspx"",false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,226,T:System.Web.HttpResponse,,,,,"Response.Redirect(ConfigurationManager.AppSettings[""AuthGatewayLogoutUrl""]??""http://localhost:8000/Logout.aspx"",false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,226,P:System.Web.UI.Page.Response,,,,,"Response.Redirect(ConfigurationManager.AppSettings[""AuthGatewayLogoutUrl""]??""http://localhost:8000/Logout.aspx"",false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,226,"M:System.Web.HttpResponse.Redirect(System.String,System.Boolean)",,,,,"Response.Redirect(ConfigurationManager.AppSettings[""AuthGatewayLogoutUrl""]??""http://localhost:8000/Logout.aspx"",false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,196,T:System.Web.Security.FormsAuthentication,,,,,FormsAuthentication.SignOut();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,196,M:System.Web.Security.FormsAuthentication.SignOut,,,,,FormsAuthentication.SignOut();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,139,M:System.Web.UI.Page.#ctor,,,,,Page
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Logout.aspx.cs,0,139,T:System.Web.UI.Page,,,,,Page
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.designer.cs,0,167,T:System.Web.UI.WebControls.HyperLink,,,,,lnkAuthGateway
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.designer.cs,0,102,T:System.Web.UI.WebControls.Label,,,,,lblMessage
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,593,T:System.Web.UI.WebControls.Label,,,,,"lblMessage.Text=""Authentication is handled by ZavaAuthGateway."";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,593,P:System.Web.UI.WebControls.Label.Text,,,,,"lblMessage.Text=""Authentication is handled by ZavaAuthGateway."";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,496,M:System.Web.UI.Control.ResolveClientUrl(System.String),,,,,"lnkAuthGateway.NavigateUrl=auth+""?ReturnUrl=""+HttpUtility.UrlEncode(ResolveClientUrl(returnUrl));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,496,T:System.Web.UI.WebControls.HyperLink,,,,,"lnkAuthGateway.NavigateUrl=auth+""?ReturnUrl=""+HttpUtility.UrlEncode(ResolveClientUrl(returnUrl));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,496,P:System.Web.UI.WebControls.HyperLink.NavigateUrl,,,,,"lnkAuthGateway.NavigateUrl=auth+""?ReturnUrl=""+HttpUtility.UrlEncode(ResolveClientUrl(returnUrl));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,395,T:System.Configuration.ConfigurationManager,,,,,"var auth=ConfigurationManager.AppSettings[""AuthGatewayLoginUrl""]??""http://localhost:8000/Login.aspx"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,395,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"var auth=ConfigurationManager.AppSettings[""AuthGatewayLoginUrl""]??""http://localhost:8000/Login.aspx"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,341,T:System.Web.HttpContext,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,341,P:System.Web.UI.Page.Context,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,341,T:System.Web.HttpApplication,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,341,P:System.Web.HttpContext.ApplicationInstance,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,341,M:System.Web.HttpApplication.CompleteRequest,,,,,Context.ApplicationInstance.CompleteRequest();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,288,M:System.Web.UI.Control.ResolveClientUrl(System.String),,,,,"Response.Redirect(ResolveClientUrl(returnUrl),false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,288,T:System.Web.HttpResponse,,,,,"Response.Redirect(ResolveClientUrl(returnUrl),false);"
